Ticker,Quantile,Threshold,MRL,NumExceedances
000100.KS,0.44,0.012837003117898,0.013943743152058184,3056
000100.KS,0.45,0.013094295118735869,0.013934969906288676,3002
000100.KS,0.46,0.01335433972205299,0.013927801232246273,2948
000100.KS,0.47000000000000003,0.013605699846999664,0.013938805655849928,2893
000100.KS,0.48000000000000004,0.01385426781944494,0.013952755267802033,2839
000100.KS,0.49,0.014134587551369376,0.013945729039686501,2784
000100.KS,0.5,0.0144349391680634,0.01392346908686864,2729
000100.KS,0.51,0.014814967340863395,0.013820972218523226,2675
000100.KS,0.52,0.015037890566373533,0.013885869909976633,2620
000100.KS,0.53,0.015306678945587075,0.013906724582448586,2566
000100.KS,0.54,0.015638542852579262,0.013876111695042772,2511
000100.KS,0.55,0.0160003141266283,0.013820892172669413,2456
000100.KS,0.56,0.01629846107868425,0.01382989882197117,2402
000100.KS,0.5700000000000001,0.016620825560213753,0.013827879235759143,2347
